,year,movie,movie_id,certificate,duration,genre,rate,metascore,synopsis,votes,gross,user_reviews,critic_reviews,popularity,awards_wins,awards_nominations
101,2000,La virgen de los sicarios,tt0250809,R,101,"Crime, Drama, Romance",6.8,73.0,"The tempestuous love story between Fernando, an older man who has recently returned to his crime-ridden drug capitol hometown of Medellin, Colombia and the gun-happy 16-year-old assassin ...",3574,525330.0,78.0,53.0,-1.0,3,3
102,2000,Last Resort,tt0258761,TV-14,73,"Drama, Romance",7.3,80.0,"When a young Russian woman and her son leave Moscow to meet her fiancé, who fails to show up, she declares political asylum.",1623,114657.0,11.0,45.0,-1.0,13,7
103,2000,Little Nicky,tt0185431,PG-13,90,Comedy|Fantasy,5.30000019,38.0,"After two of the devil's three sons escape Hell to wreak havoc on Earth, the devil must send his third son, the mild-mannered Nicky, to bring them back before it's too late.",82544,39440000.0,238.0,86.0,2772.0,0,0
104,2000,Loser,tt0217630,PG-13,98,"Comedy, Romance",5.3,35.0,"A college student, branded a loser by his roommates and booted from the dorm, falls in love with a coed who has eyes for their condescending professor.",25251,15618626.0,164.0,85.0,3962.0,0,0
105,2000,Lost Souls,tt0160484,R,97,"Drama, Horror, Thriller",4.8,16.0,"A Catholic teacher meets an atheist journalist, whom a group of Catholics and Priests believes has been chosen by the devil to be the Antichrist.",10033,16779636.0,170.0,102.0,-1.0,0,2
106,2000,Love & Basketball,tt0199725,PG-13,124,Drama|Romance|Sport,7.19999981,70.0,"In 1981 in L.A., Monica moves in next door to Quincy. They're 11, and both want to play in the NBA, just like Quincy's dad. Their love-hate relationship lasts into high school, with ... See full summary »",14809,27440000.0,116.0,67.0,1727.0,0,0
107,2000,Love & Sex,tt0234137,R,82,"Comedy, Romance, Drama",6.2,44.0,"When her rather explicit copy is rejected, magazine journalist Kate is asked by her editor to come up with an article on loving relationships instead, and to do so by the end of the day. ...",4960,546287.0,58.0,22.0,-1.0,0,0
108,2000,Love's Labour's Lost,tt0182295,PG,93,"Romance, Comedy, Musical",6.1,35.0,"An update of the classic Shakespeare story, Director Sir <a href='/name/nm0000110/?ref_='>Kenneth Branagh</a> shot this movie like a classic 1930s musical. This movie tells the story of four best friends who swear off love.",4179,284291.0,101.0,61.0,-1.0,0,2
109,2000,"Love, Honor and Obey",tt0199727,R,103,"Comedy, Crime",6.5,23.0,A north London postman who gets involved with a gang of criminals,4836,1143.0,90.0,22.0,-1.0,0,0
110,2000,Lucky Numbers,tt0219952,R,105,"Comedy, Crime",5.0,31.0,A television weatherman scams a local lottery.,9372,10014234.0,70.0,39.0,-1.0,2,0
